precision,recall,f1_score,mean_distance,plot
0.4432194046306505,0.9571428571428572,0.6058779201205727,1.1320915531565345,1
0.4685185185185185,0.6931506849315069,0.5591160220994476,1.465579147147334,2
0.3855109961190168,0.8975903614457831,0.5393665158371042,1.6020910141756337,3
0.3712374581939799,0.8505747126436781,0.5168800931315483,1.5128793078816785,4
0.3241252302025783,0.8461538461538461,0.46870838881491345,1.3620979962233972,5
0.30221703617269546,0.8931034482758621,0.45161290322580655,1.298422515945372,6
0.4237875288683603,0.8995098039215687,0.576138147566719,1.4141746907607895,7
0.3603192702394527,0.9266862170087976,0.5188834154351395,1.3111351709203627,8
0.5201238390092879,0.7320261437908496,0.6081447963800906,1.5647836850483134,9
0.6887254901960784,0.5424710424710425,0.6069114470842333,1.3814384320928643,10
