precision,recall,f1_score,mean_distance,plot
0.4197916666666667,0.9595238095238096,0.5840579710144927,1.1158686383016074,plot_01
0.44851657940663175,0.7041095890410959,0.5479744136460555,1.4258162974657023,plot_02
0.3660606060606061,0.9096385542168675,0.5220397579948142,1.572757727679897,plot_03
0.34142640364188165,0.8620689655172413,0.48913043478260865,1.4583954388277254,plot_04
0.3016666666666667,0.8701923076923077,0.44801980198019803,1.305221700211811,plot_05
0.2847754654983571,0.896551724137931,0.43225270157938495,1.2497014603991576,plot_06
0.40584415584415584,0.9191176470588235,0.5630630630630631,1.4010196338585932,plot_07
0.3415154749199573,0.9384164222873901,0.5007824726134585,1.2812369341267786,plot_08
0.4943342776203966,0.7603485838779956,0.5991416309012876,1.5309429441591318,plot_09
0.6817102137767221,0.5540540540540541,0.6112886048988285,1.4376404373204579,plot_10
